time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,sex|[AOD] Average Odds Difference,race|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,race|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,race|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,race|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,race|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|sex|[AOD] Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|race|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|race|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference
2023-12-01 00:08:20.449178,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",{},0.14826600358156725,0.09423428324135166,0.22039842873176196,0.07379011778363609,0.1803026544281816,0.11147405757650741,1.3532957417849505,0.8186867738213434,0.2610632183908046,0.22146837102589312,0.24756606397774686,0.31154381084840055,0.028118175258868675,0.02614123695984803,0.3025429075535492,0.20005371782813686,0.60778859527121,0.6658163265306123,0.633495145631068,0.6492537313432837,0.04349070819655644,0.043490708196556385,0.4251628646476546,0.6033299147010435,0.40361305361305355,0.21450706156588506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01 00:08:19.382065,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",{},0.1172395628976783,0.0614321718390949,0.1560798958863802,0.0731855353948376,0.1975880857060281,0.1016842215820429,0.3213143932106915,0.5785416666666667,2.1122166361974406,0.7284839755131436,0.0414491863678231,0.0785999385937979,0.043566258036704,0.012777184569943,1.1353352170672455,0.5472447095891827,0.8529321461467608,0.7272727272727273,0.6584766584766585,0.6911669890393295,0.0449628390668255,0.0449628390668255,1.8399861317169317,0.311288555427432,0.4010720111862037,0.2460851348823708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01 00:03:18.995415,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",{},0.1407746403265728,0.126704657734691,0.1876707272056108,0.1212732752125713,0.1632543606006903,0.1503033829274374,1.303034237977752,0.7749695114363225,0.2325604570821154,0.2903733440385385,0.2503477051460361,0.2545201668984701,0.0270852153257209,0.0349794278485224,0.2646955740659136,0.2549315904847958,0.6203059805285118,0.6432038834951457,0.6777493606138107,0.660024906600249,0.0465296221571839,0.0465296221571839,0.4054149287168299,0.6329961832678338,0.298360655737705,0.2240919159928758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01 00:03:18.092003,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['sex', 'race']",{},0.0368811646487411,0.0628791517446021,0.0038238559269766,0.0678469629451202,0.1733594354263875,0.1306045383833204,0.3739314191301648,0.4521368222459191,1.674287178986427,1.2117198838896952,0.0411421553576911,0.0730733804114215,0.0387925244312125,0.0169996386705981,0.9836828696918988,0.7937704408716517,0.8575376112987412,0.729957805907173,0.6561314791403287,0.6910785619174433,0.0442230234796238,0.0442230234796238,1.7884785256408238,0.2989644264831483,0.0752262443438913,0.0919009998821535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29 21:46:55.777415,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{'sdf': 11},,0.09344,,0.07396,,0.10745,,0.82435,,,,,,,,,0.6203059805285118,0.65897,0.64736,,0.0245937314420237,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:55.754760,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.08164,,0.09682,,0.1124,,1.21587,,,,,,,,,,0.6203059805285118,0.65897,0.64736,,0.0175293687531554,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:55.741076,1,Compas Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['sex'],{},0.04984,,0.11118,,0.09427,,1.18225,,,,,,,,,,0.627260083449235,0.66753,0.64736,,0.0147013024193314,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:55.716636,1,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],{},0.00682,,0.01252,,0.02465,,1.04656,,,,,,,,,,0.6147426981919333,0.65625,0.63476,,0.0038436168298962,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:55.686484,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.08164,,0.09682,,0.1124,,1.21587,,,,,,,,,,0.6203059805285118,0.65897,0.64736,,0.0175293687531554,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:52.802925,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{'sdf': 11},,0.06216,,0.08166,,0.10746,,0.52589,,,,,,,,,0.8599938593797973,0.74307,0.64512,,0.0138491064662314,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:52.768912,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.08693,,0.09319,,0.18915,,0.31061,,,,,,,,,,0.8599938593797973,0.74307,0.64512,,0.0423637749033776,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:52.742153,1,Adult Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['sex'],{},0.05155,,0.04206,,0.16392,,0.37395,,,,,,,,,,0.8584587043291373,0.74405,0.63371,,0.0367136313190106,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:52.714553,1,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],{},0.08373,,0.09017,,0.18548,,0.31938,,,,,,,,,,0.8593797973595333,0.74231,0.64259,,0.0415417575842645,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 21:46:52.704588,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.08693,,0.09319,,0.18915,,0.31061,,,,,,,,,,0.8599938593797973,0.74307,0.64512,,0.0423637749033776,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:19.948646,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},,0.0825,,0.04989,,0.11914,,0.83241,,,,,,,,,0.6522948539638387,0.62719,0.78142,,0.0273173411533945,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:19.935560,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.13408,,0.1255,,0.1651,,1.27517,,,,,,,,,,0.6522948539638387,0.62719,0.78142,,0.0271239029636665,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:19.929170,1,Compas Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['sex'],{},0.06093,,0.04324,,0.08715,,1.14113,,,,,,,,,,0.6342141863699583,0.61269,0.76503,,0.0143182948036699,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:19.914568,1,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],{},0.00204,,0.07334,,0.04574,,1.07558,,,,,,,,,,0.6662030598052852,0.64253,0.77596,,0.0075150736709345,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:19.885552,1,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.13408,,0.1255,,0.1651,,1.27517,,,,,,,,,,0.6522948539638387,0.62719,0.78142,,0.0271239029636665,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:18.115156,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},,0.03697,,0.04756,,0.06377,,0.64223,,,,,,,,,0.8332821614983114,0.71143,0.50515,,0.0077763592532425,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:18.100676,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.17842,,0.27817,,0.18808,,0.17993,,,,,,,,,,0.8332821614983114,0.71143,0.50515,,0.0409209082650353,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:18.085860,1,Adult Dataset,Reweighing Bias Mitigation,RandomForestClassifier,,['sex'],{},0.07077,,0.11464,,0.11341,,0.39762,,,,,,,,,,0.8228431071538226,0.70101,0.44716,,0.0246740941713221,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:18.064866,1,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],{},0.03997,,0.07502,,0.09911,,0.55918,,,,,,,,,,0.8179306109917102,0.64547,0.5232,,0.0215639086885816,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:53:18.048493,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],{},0.17842,,0.27817,,0.18808,,0.17993,,,,,,,,,,0.8332821614983114,0.71143,0.50515,,0.0409209082650353,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.684712,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.20226,,0.13946,,0.20511,,0.7211,,,,,,,,,0.6981919332406119,0.71889,0.76658,,0.0471080023444708,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.672066,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.12742,,0.10098,,0.1588,,1.27815,,,,,,,,,,0.6981919332406119,0.71889,0.76658,,0.0259594050615036,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.656664,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.07776,,0.09784,,0.04514,,0.9255,,,,,,,,,,0.6884561891515995,0.71329,0.75184,,0.0073796669381249,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.641062,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.00282,,0.0136,,0.03718,,1.06512,,,,,,,,,,0.6926286509040334,0.72356,0.73956,,0.0060778279212552,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.621038,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.12742,,0.10098,,0.1588,,1.27815,,,,,,,,,,0.6981919332406119,0.71889,0.76658,,0.0259594050615036,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.256359,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.10236,,0.15435,,0.10763,,0.37211,,,,,,,,,0.8246852932146147,0.73715,0.45993,,0.0136640583013898,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.245258,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.17528,,0.285,,0.17887,,0.16527,,,,,,,,,,0.8246852932146147,0.73715,0.45993,,0.0395145233586307,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.223850,1,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.01734,,0.02843,,0.0857,,0.46524,,,,,,,,,,0.8179306109917102,0.75349,0.39951,,0.0189318507107197,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.217228,1,Adult Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.04027,,0.04999,,0.12251,,0.42459,,,,,,,,,,0.8222290451335585,0.70641,0.48952,,0.0270640718194269,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:50:41.187096,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.17528,,0.285,,0.17887,,0.16527,,,,,,,,,,0.8246852932146147,0.73715,0.45993,,0.0395145233586307,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:18.120351,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.1584,,0.06804,,0.17501,,0.76425,,,,,,,,,0.6981919332406119,0.71205,0.78378,,0.0379873916987935,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:18.103912,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.28921,,0.22994,,0.32423,,1.5861,,,,,,,,,,0.6981919332406119,0.71205,0.78378,,0.0548281204965171,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:18.090577,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.06285,,0.05374,,0.11039,,1.1842,,,,,,,,,,0.6759388038942976,0.6942,0.76413,,0.0186667853087563,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:18.073166,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.12897,,0.11779,,0.18229,,1.32953,,,,,,,,,,0.6954102920723226,0.72066,0.7543,,0.0308263099150612,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:18.050126,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,[],{},,,,,,,,,,,,,,,,,0.6981919332406119,0.71205,0.78378,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:17.588534,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.08169,,0.11556,,0.09917,,0.36054,,,,,,,,,0.8262204482652747,0.69935,0.42857,,0.0121372931063949,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:17.575678,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.18581,,0.29628,,0.17068,,0.13315,,,,,,,,,,0.8262204482652747,0.69935,0.42857,,0.0376144567205524,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:17.564941,1,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.04038,,0.07234,,0.07744,,0.45838,,,,,,,,,,0.8231501381639545,0.72585,0.37116,,0.0170676059282908,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:17.549843,1,Adult Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.09147,,0.15311,,0.11502,,0.40896,,,,,,,,,,0.8194657660423703,0.65753,0.4486,,0.025348959078149,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:47:17.529563,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,[],{},,,,,,,,,,,,,,,,,0.8262204482652747,0.69935,0.42857,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.971340,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.21321,,0.18446,,0.2218,,0.70752,,,,,,,,,0.6662030598052852,0.67882,0.75063,,0.0493228696168569,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.959125,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.19847,,0.15319,,0.22718,,1.40476,,,,,,,,,,0.6662030598052852,0.67882,0.75063,,0.0385967219964368,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.945941,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.02936,,0.0289,,0.02963,,1.04949,,,,,,,,,,0.6662030598052852,0.68046,0.74559,,0.0050332616967237,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.929761,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.03699,,0.07552,,0.09257,,1.16492,,,,,,,,,,0.6731571627260083,0.69378,0.73048,,0.0157265248248901,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.897306,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,[],{},,,,,,,,,,,,,,,,,0.6662030598052852,0.67882,0.75063,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.454308,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.06213,,0.06369,,0.09333,,0.45449,,,,,,,,,0.815781393920786,0.66537,0.44416,,0.0113809806119862,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.442140,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.1739,,0.25432,,0.1824,,0.16272,,,,,,,,,,0.815781393920786,0.66537,0.44416,,0.0402752664509751,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.429684,1,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.01508,,0.00034,,0.091,,0.45971,,,,,,,,,,0.8173165489714461,0.69401,0.40649,,0.0200923845657198,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.391826,1,Adult Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.04196,,0.03785,,0.11575,,0.46304,,,,,,,,,,0.8096407737181456,0.62976,0.47273,,0.0255576685213275,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:43:47.369361,1,Adult Dataset,No Bias Mitigation,LogisticRegression,,[],{},,,,,,,,,,,,,,,,,0.815781393920786,0.66537,0.44416,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,
2023-11-29 19:42:36.867886,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.1763566666666667,,0.1505433333333333,,0.1985966666666666,,0.7371266666666667,,,,,,,,,0.684747334260547,0.70953,0.75799,,0.0444785325521009,,,,,,,0.0034305606222222,,0.0021690894222222,,0.0046039430888888,,0.0047502966888888,,,,,,,,,0.0001113344247545,0.0002562274666666,0.0003436114666666,,0.0002324271358917,,,,,
2023-11-29 19:42:36.853886,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.22371,,0.1684066666666666,,0.25354,,1.44995,,,,,,,,,,0.684747334260547,0.70953,0.75799,,0.0365198406327234,,,,,,0.0014888561999999,,6.900428888888873e-05,,0.0004911666666666,,0.0028150348666666,,,,,,,,,,0.0001113344247545,0.0002562274666666,0.0003436114666666,,1.3415945087719689e-05,,,,,
2023-11-29 19:42:36.838181,3,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.0217266666666666,,0.03052,,0.0619,,1.1044533333333333,,,,,,,,,,0.6759388038942977,0.70383,0.74765,,0.0088775233205857,,,,,,0.0006859777555555,,0.0001240112666666,,0.0005333880666666,,0.0016509974222222,,,,,,,,,,4.642516553473087e-05,0.0003800413999999,0.0002320072666666,,1.09392879741045e-05,,,,,
2023-11-29 19:42:36.822579,3,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.09101,,0.0621066666666666,,0.1312766666666666,,1.23308,,,,,,,,,,0.6801112656467315,0.7131933333333333,0.7352466666666667,,0.0189169653674713,,,,,,0.0008318228666666,,0.0002311766888888,,0.0001999766888888,,0.0010307922666666,,,,,,,,,,0.000163777667303,0.0003164850888888,0.0004598942888888,,5.296331414163865e-06,,,,,
2023-11-29 19:42:36.801035,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.22371,,0.1684066666666666,,0.25354,,1.44995,,,,,,,,,,0.684747334260547,0.70953,0.75799,,0.0365198406327234,,,,,,0.0014888561999999,,6.900428888888873e-05,,0.0004911666666666,,0.0028150348666666,,,,,,,,,,0.0001113344247545,0.0002562274666666,0.0003436114666666,,1.3415945087719689e-05,,,,,
2023-11-29 19:42:35.658941,3,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},,0.0475466666666666,,0.0807433333333333,,0.07642,,0.50674,,,,,,,,,0.8245829495445708,0.7099099999999999,0.43252,,0.0097072515407875,,,,,,,0.0010382944888888,,0.0008151744222222,,9.715520000000006e-05,,0.0044944804666666,,,,,,,,,5.865567006922825e-07,0.0009053575999999,7.741406666666652e-05,,1.7944027561475876e-06,,,,,
2023-11-29 19:42:35.645037,3,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.1681533333333333,,0.2636166666666666,,0.1677733333333333,,0.1573666666666666,,,,,,,,,,0.8245829495445708,0.7099099999999999,0.43252,,0.0371022041847657,,,,,,0.0001031804222222,,0.0005753962888888,,2.28933555555555e-05,,3.955242222222225e-05,,,,,,,,,,5.865567006922825e-07,0.0009053575999999,7.741406666666652e-05,,1.0271641633454425e-06,,,,,
2023-11-29 19:42:35.633155,3,Adult Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.01163,,0.0171733333333333,,0.0707133333333333,,0.5208966666666667,,,,,,,,,,0.8166001432811382,0.7111666666666666,0.3747366666666667,,0.0156379053930337,,,,,,1.0226466666666666e-05,,0.0001183609555555,,6.637755555555553e-06,,0.0002662022222222,,,,,,,,,,8.442226799249789e-06,0.0006923420222222,1.977695555555562e-05,,3.028822043166735e-07,,,,,
